operation, CNOT count, 1-qubit Clifford count, T count, R count, M count, T depth, initial width, extra width, comment, full depth
QAES.InPlace.KeyExpansion, 128, 0, 0, 0, 0, 0, 1664, 0, $KE_2^(Nk-1)$ - round 5, 4
QAES.InPlace.KeyExpansion, 2764, 841, 544, 0, 136, 6, 1664, 121, $KE_0^(2 Nk/3-1)$ - round 6, 105
QAES.InPlace.KeyExpansion, 64, 0, 0, 0, 0, 0, 1664, 0, $KE_(2*Nk/3)^(Nk-1)$ - round 7, 2
QAES.InPlace.KeyExpansion, 2702, 845, 544, 0, 136, 6, 1664, 121, $KE_0^(Nk/3-1)$ - round 7, 103
QAES.InPlace.KeyExpansion, 128, 0, 0, 0, 0, 0, 1664, 0, $KE_2^(Nk-1)$ - round 8, 4
QAES.InPlace.KeyExpansion, 2782, 877, 544, 0, 136, 6, 1664, 121, $KE_0^(2 Nk/3-1)$ - round 9, 107
QAES.InPlace.KeyExpansion, 64, 0, 0, 0, 0, 0, 1664, 0, $KE_(2*Nk/3)^(Nk-1)$ - round 10, 2
QAES.InPlace.KeyExpansion, 2688, 817, 544, 0, 136, 6, 1664, 121, $KE_0^(Nk/3-1)$ - round 10, 103
QAES.InPlace.KeyExpansion, 128, 0, 0, 0, 0, 0, 1664, 0, $KE_2^(Nk-1)$ - round 11, 4
QAES.InPlace.KeyExpansion, 2752, 817, 544, 0, 136, 6, 1664, 121, $KE_0^(2 Nk/3-1)$ - round 12, 103
QAES.InPlace.KeyExpansion, 2730, 773, 544, 0, 136, 6, 1920, 121, $KE_0^(Nk/2-1)$ - round 2, 103
QAES.InPlace.KeyExpansion, 2754, 820, 544, 0, 136, 6, 1920, 121, $KE_(Nk/2)^(Nk-1)$ - round 3, 104
QAES.InPlace.KeyExpansion, 2748, 809, 544, 0, 136, 6, 1920, 121, $KE_0^(Nk/2-1)$ - round 4, 104
QAES.InPlace.KeyExpansion, 2784, 880, 544, 0, 136, 6, 1920, 121, $KE_(Nk/2)^(Nk-1)$ - round 5, 103
QAES.InPlace.KeyExpansion, 2774, 861, 544, 0, 136, 6, 1920, 121, $KE_0^(Nk/2-1)$ - round 6, 107
QAES.InPlace.KeyExpansion, 2756, 824, 544, 0, 136, 6, 1920, 121, $KE_(Nk/2)^(Nk-1)$ - round 7, 103
QAES.InPlace.KeyExpansion, 2740, 793, 544, 0, 136, 6, 1920, 121, $KE_0^(Nk/2-1)$ - round 8, 104
QAES.InPlace.KeyExpansion, 2746, 804, 544, 0, 136, 6, 1920, 121, $KE_(Nk/2)^(Nk-1)$ - round 9, 107
QAES.InPlace.KeyExpansion, 2762, 837, 544, 0, 136, 6, 1920, 121, $KE_0^(Nk/2-1)$ - round 10, 107
QAES.InPlace.KeyExpansion, 2758, 828, 544, 0, 136, 6, 1920, 121, $KE_(Nk/2)^(Nk-1)$ - round 11, 103
QAES.InPlace.KeyExpansion, 2752, 817, 544, 0, 136, 6, 1920, 121, $KE_0^(Nk/2-1)$ - round 12, 107
QAES.InPlace.KeyExpansion, 2758, 828, 544, 0, 136, 6, 1920, 121, $KE_(Nk/2)^(Nk-1)$ - round 13, 107
QAES.InPlace.KeyExpansion, 2746, 805, 544, 0, 136, 6, 1920, 121, $KE_0^(Nk/2-1)$ - round 14, 104
QAES.Widest.KeyExpansion, 28948, 8472, 5440, 0, 1360, 60, 1408, 121, in_place = false - Nr = 10 - Nk = 4 - not currently used, 1024
QAES.Widest.KeyExpansion, 23978, 6620, 4352, 0, 1088, 48, 1664, 121, in_place = false - Nr = 12 - Nk = 6 - not currently used, 835
QAES.Widest.KeyExpansion, 37568, 10871, 7072, 0, 1768, 78, 1920, 121, in_place = false - Nr = 14 - Nk = 8 - not currently used, 1019
QAES.Widest.Round, 11888, 3320, 2176, 0, 544, 6, 384, 121, state size is the same for all, 184
QAES.SmartWide.Round, 14666, 4189, 2720, 0, 680, 6, 512, 121, round = 1 - Nk = 4 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14808, 4193, 2720, 0, 680, 6, 512, 121, round = 1 - Nk = 4 - Maximov's mixcolumn, 105
QAES.SmartWide.Round, 14674, 4205, 2720, 0, 680, 6, 512, 121, round = 2 - Nk = 4 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14772, 4121, 2720, 0, 680, 6, 512, 121, round = 2 - Nk = 4 - Maximov's mixcolumn, 105
QAES.SmartWide.Round, 14658, 4173, 2720, 0, 680, 6, 512, 121, round = 3 - Nk = 4 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14838, 4253, 2720, 0, 680, 6, 512, 121, round = 3 - Nk = 4 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14680, 4217, 2720, 0, 680, 6, 512, 121, round = 4 - Nk = 4 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14794, 4165, 2720, 0, 680, 6, 512, 121, round = 4 - Nk = 4 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14626, 4109, 2720, 0, 680, 6, 512, 121, round = 5 - Nk = 4 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14770, 4117, 2720, 0, 680, 6, 512, 121, round = 5 - Nk = 4 - Maximov's mixcolumn, 104
QAES.SmartWide.Round, 14674, 4205, 2720, 0, 680, 6, 512, 121, round = 6 - Nk = 4 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14790, 4157, 2720, 0, 680, 6, 512, 121, round = 6 - Nk = 4 - Maximov's mixcolumn, 109
QAES.SmartWide.Round, 14652, 4161, 2720, 0, 680, 6, 512, 121, round = 7 - Nk = 4 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14810, 4197, 2720, 0, 680, 6, 512, 121, round = 7 - Nk = 4 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14662, 4181, 2720, 0, 680, 6, 512, 121, round = 8 - Nk = 4 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14766, 4109, 2720, 0, 680, 6, 512, 121, round = 8 - Nk = 4 - Maximov's mixcolumn, 106
QAES.SmartWide.Round, 14656, 4172, 2720, 0, 680, 6, 512, 121, round = 9 - Nk = 4 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14772, 4124, 2720, 0, 680, 6, 512, 121, round = 9 - Nk = 4 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14616, 4092, 2720, 0, 680, 6, 512, 121, round = 10 - Nk = 4 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14808, 4196, 2720, 0, 680, 6, 512, 121, round = 10 - Nk = 4 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14582, 4149, 2720, 0, 680, 6, 576, 121, round = 1 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14716, 4137, 2720, 0, 680, 6, 576, 121, round = 1 - Nk = 6 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 12010, 3308, 2176, 0, 544, 6, 576, 121, round = 2 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 12144, 3296, 2176, 0, 544, 6, 576, 121, round = 2 - Nk = 6 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14610, 4077, 2720, 0, 680, 6, 576, 121, round = 3 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14804, 4185, 2720, 0, 680, 6, 576, 121, round = 3 - Nk = 6 - Maximov's mixcolumn, 103
QAES.SmartWide.Round, 14710, 4277, 2720, 0, 680, 6, 576, 121, round = 4 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14806, 4189, 2720, 0, 680, 6, 576, 121, round = 4 - Nk = 6 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 11998, 3284, 2176, 0, 544, 6, 576, 121, round = 5 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 12166, 3340, 2176, 0, 544, 6, 576, 121, round = 5 - Nk = 6 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14656, 4169, 2720, 0, 680, 6, 576, 121, round = 6 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14860, 4297, 2720, 0, 680, 6, 576, 121, round = 6 - Nk = 6 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14666, 4189, 2720, 0, 680, 6, 576, 121, round = 7 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14770, 4117, 2720, 0, 680, 6, 576, 121, round = 7 - Nk = 6 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 11988, 3264, 2176, 0, 544, 6, 576, 121, round = 8 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 12156, 3320, 2176, 0, 544, 6, 576, 121, round = 8 - Nk = 6 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14588, 4033, 2720, 0, 680, 6, 576, 121, round = 9 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14770, 4117, 2720, 0, 680, 6, 576, 121, round = 9 - Nk = 6 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14648, 4153, 2720, 0, 680, 6, 576, 121, round = 10 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14760, 4097, 2720, 0, 680, 6, 576, 121, round = 10 - Nk = 6 - Maximov's mixcolumn, 110
QAES.SmartWide.Round, 12012, 3312, 2176, 0, 544, 6, 576, 121, round = 11 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 12150, 3308, 2176, 0, 544, 6, 576, 121, round = 11 - Nk = 6 - Maximov's mixcolumn, 104
QAES.SmartWide.Round, 14696, 4249, 2720, 0, 680, 6, 576, 121, round = 12 - Nk = 6 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14812, 4201, 2720, 0, 680, 6, 576, 121, round = 12 - Nk = 6 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 11856, 3256, 2176, 0, 544, 6, 640, 121, round = 1 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 12012, 3288, 2176, 0, 544, 6, 640, 121, round = 1 - Nk = 8 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14638, 4133, 2720, 0, 680, 6, 640, 121, round = 2 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14764, 4105, 2720, 0, 680, 6, 640, 121, round = 2 - Nk = 8 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14642, 4140, 2720, 0, 680, 6, 640, 121, round = 3 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14804, 4184, 2720, 0, 680, 6, 640, 121, round = 3 - Nk = 8 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14642, 4141, 2720, 0, 680, 6, 640, 121, round = 4 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14756, 4089, 2720, 0, 680, 6, 640, 121, round = 4 - Nk = 8 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14676, 4208, 2720, 0, 680, 6, 640, 121, round = 5 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14858, 4292, 2720, 0, 680, 6, 640, 121, round = 5 - Nk = 8 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14634, 4125, 2720, 0, 680, 6, 640, 121, round = 6 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14778, 4133, 2720, 0, 680, 6, 640, 121, round = 6 - Nk = 8 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14630, 4116, 2720, 0, 680, 6, 640, 121, round = 7 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14764, 4104, 2720, 0, 680, 6, 640, 121, round = 7 - Nk = 8 - Maximov's mixcolumn, 105
QAES.SmartWide.Round, 14640, 4137, 2720, 0, 680, 6, 640, 121, round = 8 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14808, 4193, 2720, 0, 680, 6, 640, 121, round = 8 - Nk = 8 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14640, 4136, 2720, 0, 680, 6, 640, 121, round = 9 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14786, 4148, 2720, 0, 680, 6, 640, 121, round = 9 - Nk = 8 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14644, 4145, 2720, 0, 680, 6, 640, 121, round = 10 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14794, 4165, 2720, 0, 680, 6, 640, 121, round = 10 - Nk = 8 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14640, 4136, 2720, 0, 680, 6, 640, 121, round = 11 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14776, 4128, 2720, 0, 680, 6, 640, 121, round = 11 - Nk = 8 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14656, 4169, 2720, 0, 680, 6, 640, 121, round = 12 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14828, 4233, 2720, 0, 680, 6, 640, 121, round = 12 - Nk = 8 - Maximov's mixcolumn, 104
QAES.SmartWide.Round, 14622, 4100, 2720, 0, 680, 6, 640, 121, round = 13 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14794, 4164, 2720, 0, 680, 6, 640, 121, round = 13 - Nk = 8 - Maximov's mixcolumn, 107
QAES.SmartWide.Round, 14636, 4129, 2720, 0, 680, 6, 640, 121, round = 14 - Nk = 8 - in_place mixcolumn, 184
QAES.SmartWide.Round, 14756, 4089, 2720, 0, 680, 6, 640, 121, round = 14 - Nk = 8 - Maximov's mixcolumn, 106
QAES.Widest.FinalRound, 10788, 3336, 2176, 0, 544, 6, 1664, 121, state size is the same for all, 107
QAES.SmartWide.FinalRound, 13606, 4288, 2720, 0, 680, 6, 1664, 121, Nk = 4 - state size is the same for all but in-place expansion isn't, 108
QAES.SmartWide.FinalRound, 13532, 4137, 2720, 0, 680, 6, 1920, 121, Nk = 6 - state size is the same for all but in-place expansion isn't, 107
QAES.SmartWide.FinalRound, 13524, 4121, 2720, 0, 680, 6, 2176, 121, Nk = 8 - state size is the same for all but in-place expansion isn't, 106
QAES.SmartWide.Rijndael_128_in-place-MC, 291150, 83116, 54400, 0, 13600, 120, 1664, 121, smart_wide = true - Nr = 10 - Nk = 4 - in_place mixcolumn, 2827
QAES.SmartWide.Rijndael_192_in-place-MC, 328612, 93160, 60928, 0, 15232, 120, 1984, 121, smart_wide = true - Nr = 12 - Nk = 6 - in_place mixcolumn, 2987
QAES.SmartWide.Rijndael_256_in-place-MC, 402878, 114778, 75072, 0, 18768, 126, 2304, 121, smart_wide = true - Nr = 14 - Nk = 8 - in_place mixcolumn, 3353
QAES.SmartWide.Rijndael_128_maximov-MC, 293730, 83236, 54400, 0, 13600, 120, 2816, 121, smart_wide = true - Nr = 10 - Nk = 4 - Maximov's mixcolumn, 2094
QAES.SmartWide.Rijndael_192_maximov-MC, 331752, 93280, 60928, 0, 15232, 120, 3392, 121, smart_wide = true - Nr = 12 - Nk = 6 - Maximov's mixcolumn, 1879
QAES.SmartWide.Rijndael_256_maximov-MC, 406288, 114318, 75072, 0, 18768, 126, 3968, 121, smart_wide = true - Nr = 14 - Nk = 8 - Maximov's mixcolumn, 1955
QAES.Widest.Rijndael_128_in-place-MC, 293758, 83212, 54400, 0, 13600, 132, 2944, 121, smart_wide = false - Nr = 10 - Nk = 4, 2995
QAES.Widest.Rijndael_192_in-place-MC, 331496, 93040, 60928, 0, 15232, 132, 3456, 121, smart_wide = false - Nr = 12 - Nk = 6, 3113
QAES.Widest.Rijndael_256_in-place-MC, 406176, 114718, 75072, 0, 18768, 138, 3968, 121, smart_wide = false - Nr = 14 - Nk = 8, 3385
QAES.SmartWide.GroverOracle_128_in-place-MC_r1, 292313, 84428, 54908, 0, 13727, 121, 257, 1408, smart_wide = true - Nr = 10 - Nk = 4 - in_place mixcolumn - r = 1, 2816
QAES.SmartWide.GroverOracle_192_in-place-MC_r1, 329697, 94316, 61436, 0, 15359, 120, 321, 1664, smart_wide = true - Nr = 12 - Nk = 6 - in_place mixcolumn - r = 1, 2978
QAES.SmartWide.GroverOracle_256_in-place-MC_r1, 404139, 116286, 75580, 0, 18895, 126, 385, 1920, smart_wide = true - Nr = 14 - Nk = 8 - in_place mixcolumn - r = 1, 3353
QAES.SmartWide.GroverOracle_128_in-place-MC_r2, 585051, 169184, 109820, 0, 27455, 121, 385, 2944, smart_wide = true - Nr = 10 - Nk = 4 - in_place mixcolumn - r = 2, 2815
QAES.SmartWide.GroverOracle_192_in-place-MC_r2, 659727, 188520, 122876, 0, 30719, 120, 449, 3520, smart_wide = true - Nr = 12 - Nk = 6 - in_place mixcolumn - r = 2, 2981
QAES.SmartWide.GroverOracle_256_in-place-MC_r2, 808071, 231124, 151164, 0, 37791, 126, 513, 4096, smart_wide = true - Nr = 14 - Nk = 8 - in_place mixcolumn - r = 2, 3356
QAES.SmartWide.GroverOracle_128_in-place-MC_r3, 877081, 252524, 164732, 0, 41183, 121, 513, 4480, smart_wide = true - Nr = 10 - Nk = 4 - in_place mixcolumn - r = 3, 2830
QAES.SmartWide.GroverOracle_192_in-place-MC_r3, 989879, 282968, 184316, 0, 46079, 120, 577, 5376, smart_wide = true - Nr = 12 - Nk = 6 - in_place mixcolumn - r = 3, 2982
QAES.SmartWide.GroverOracle_256_in-place-MC_r3, 1212905, 347766, 226748, 0, 56687, 126, 641, 6272, smart_wide = true - Nr = 14 - Nk = 8 - in_place mixcolumn - r = 3, 3347
QAES.SmartWide.GroverOracle_128_maximov-MC_r1, 294863, 84488, 54908, 0, 13727, 121, 257, 2560, smart_wide = true - Nr = 10 - Nk = 4 - Maximov's mixcolumn - r = 1, 2086
QAES.SmartWide.GroverOracle_192_maximov-MC_r1, 332665, 94092, 61436, 0, 15359, 120, 321, 3072, smart_wide = true - Nr = 12 - Nk = 6 - Maximov's mixcolumn - r = 1, 1879
QAES.SmartWide.GroverOracle_256_maximov-MC_r1, 407667, 116062, 75580, 0, 18895, 126, 385, 3584, smart_wide = true - Nr = 14 - Nk = 8 - Maximov's mixcolumn - r = 1, 1951
QAES.SmartWide.GroverOracle_128_maximov-MC_r2, 589643, 168288, 109820, 0, 27455, 121, 385, 5248, smart_wide = true - Nr = 10 - Nk = 4 - Maximov's mixcolumn - r = 2, 2096
QAES.SmartWide.GroverOracle_192_maximov-MC_r2, 665899, 188544, 122876, 0, 30719, 120, 449, 6336, smart_wide = true - Nr = 12 - Nk = 6 - Maximov's mixcolumn - r = 2, 1890
QAES.SmartWide.GroverOracle_256_maximov-MC_r2, 815645, 231712, 151164, 0, 37791, 126, 513, 7424, smart_wide = true - Nr = 14 - Nk = 8 - Maximov's mixcolumn - r = 2, 1952
QAES.SmartWide.GroverOracle_128_maximov-MC_r3, 884817, 252876, 164732, 0, 41183, 121, 513, 7936, smart_wide = true - Nr = 10 - Nk = 4 - Maximov's mixcolumn - r = 3, 2102
QAES.SmartWide.GroverOracle_192_maximov-MC_r3, 999491, 283712, 184316, 0, 46079, 120, 577, 9600, smart_wide = true - Nr = 12 - Nk = 6 - Maximov's mixcolumn - r = 3, 1888
QAES.SmartWide.GroverOracle_256_maximov-MC_r3, 1223087, 346290, 226748, 0, 56687, 126, 641, 11264, smart_wide = true - Nr = 14 - Nk = 8 - Maximov's mixcolumn - r = 3, 1956
